ind,pop,quadrat,plant,lon,lat,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9
QLL3-1-3*,QLL3,1,3*,44.5361,-77.2199,184:198,96:106,249:251,210:210,203:203,201:201,140:144,132:135,190:190
QLL3-1-32*,QLL3,1,32*,43.8103,-76.1491,190:190,96:96,251:251,208:208,229:251,201:201,144:146,132:132,192:192
QLL3-1-4*,QLL3,1,4*,43.8103,-76.1491,198:198,96:106,213:215,208:210,229:229,199:199,140:144,132:132,192:192
QLL3-1-46,QLL3,1,46,45.2476,-75.9464,198:198,96:101,234:238,208:208,229:235,201:201,144:146,135:138,190:200
QLL3-1-47,QLL3,1,47,45.2476,-75.9464,198:198,96:96,234:240,210:210,233:237,197:205,144:146,128:132,190:192
QLL3-1-48,QLL3,1,48,44.836,-76.6917,198:198,106:106,234:251,198:198,235:235,199:201,144:144,132:132,192:196
QLL3-1-52,QLL3,1,52,44.836,-76.6917,200:200,96:96,226:238,200:200,235:239,201:201,144:146,132:138,190:194
QLL3-1-54,QLL3,1,54,43.0005,-76.3929,198:200,96:106,209:213,190:190,235:249,197:197,144:144,132:132,192:194
QLL3-1-6*,QLL3,1,6*,43.0005,-76.3929,198:198,96:112,234:234,198:208,239:239,201:201,140:142,132:135,190:190
QLL3-1-7,QLL3,1,7,43.4437,-75.2761,198:198,96:106,228:232,212:212,227:237,201:201,140:142,132:135,196:200
QLL3-1-9,QLL3,1,9,43.4437,-75.2761,198:198,96:112,234:251,198:208,237:237,201:201,144:144,135:135,184:192
QLL3-1-N10,QLL3,1,N10,44.8743,-75.5112,198:198,96:96,234:234,210:210,229:235,201:201,140:146,132:135,192:192
QLL3-1-N11,QLL3,1,N11,44.8743,-75.5112,198:198,96:96,215:232,198:208,221:229,201:201,144:146,132:132,192:192
QLL3-2-28,QLL3,2,28,45.2944,-76.1281,198:198,106:106,247:247,198:198,227:229,201:201,142:142,132:135,184:186
QLL3-2-29,QLL3,2,29,45.2944,-76.1281,198:198,96:96,213:251,208:208,229:233,201:201,140:142,122:135,196:204
QLL3-2-30,QLL3,2,30,46.0509,-76.0047,198:198,96:106,213:247,200:200,225:235,203:203,142:144,122:122,196:196
QLL3-2-31,QLL3,2,31,46.0509,-76.0047,198:198,96:96,209:209,176:208,231:231,199:201,142:144,132:132,194:198
QLL3-2-32,QLL3,2,32,44.7307,-77.9152,188:188,128:128,230:238,204:208,235:235,201:201,144:144,135:135,196:196
QLL3-2-35,QLL3,2,35,44.7307,-77.9152,198:198,96:128,213:234,198:208,227:229,199:199,144:144,132:135,196:196
QLL3-2-36,QLL3,2,36,45.6269,-77.4376,198:200,101:128,213:213,208:210,227:227,199:199,140:144,135:135,196:196
QLL3-2-38,QLL3,2,38,45.6269,-77.4376,198:198,96:96,232:234,190:208,227:227,199:201,140:144,132:132,190:190
QLL3-2-39,QLL3,2,39,44.549,-77.4342,198:198,96:96,209:234,198:208,213:231,201:201,140:142,132:132,196:196
QLL3-2-41,QLL3,2,41,44.549,-77.4342,188:198,96:128,209:238,212:212,213:227,199:201,NA,132:135,184:184
QLL3-2-43,QLL3,2,43,45.7399,-77.0298,198:198,106:106,234:245,208:208,221:233,199:201,144:144,132:135,200:200
QLL3-2-44,QLL3,2,44,45.7399,-77.0298,198:200,106:106,209:215,210:212,229:239,199:199,140:142,135:145,196:196
QLL3-2-61,QLL3,2,61,44.9492,-76.9945,200:200,96:106,209:232,198:202,229:243,199:199,144:146,132:132,194:200
QLL3-2-62,QLL3,2,62,44.9492,-76.9945,198:198,96:96,213:213,180:210,227:227,201:201,144:144,135:135,194:194
QLL3-2-N27*,QLL3,2,N27*,45.0348,-76.6801,198:198,106:106,230:230,208:210,229:229,201:201,146:146,135:135,202:202
QLL3-2-N29,QLL3,2,N29,45.0348,-76.6801,198:198,106:106,209:209,198:214,227:229,201:201,142:142,132:132,186:186
QLL3-2-N30,QLL3,2,N30,43.7691,-77.1031,198:198,106:106,230:247,206:208,235:243,201:203,144:146,122:122,196:196
QLL3-2-N32,QLL3,2,N32,43.7691,-77.1031,198:198,101:106,226:251,208:208,227:229,199:199,144:146,132:135,192:202
QLL3-2-N35,QLL3,2,N35,43.6162,-74.6622,198:198,96:128,213:234,198:208,227:229,199:199,144:144,132:135,196:196
QLL3-2-N38,QLL3,2,N38,43.6162,-74.6622,180:198,96:96,209:232,202:206,229:229,201:201,142:142,135:138,196:196
QRL1-1-1A,QRL1,1,1A,44.6171,-76.3382,198:198,96:112,211:249,198:210,249:257,201:201,144:144,135:138,188:200
QRL1-1-1B,QRL1,1,1B,44.6171,-76.3382,198:198,106:106,238:253,NA,249:251,201:201,144:144,132:132,186:194
QRL1-1-1E,QRL1,1,1E,44.5216,-75.4293,190:198,96:106,213:232,NA,227:229,201:201,144:144,128:132,202:202
QRL1-1-1F,QRL1,1,1F,44.5216,-75.4293,198:198,106:106,228:255,208:210,231:233,201:201,144:146,132:132,190:200
QRL1-1-1G,QRL1,1,1G,43.8545,-76.3657,186:198,96:106,213:228,196:196,229:247,199:201,146:146,122:132,196:196
QRL1-1-1H,QRL1,1,1H,43.8545,-76.3657,198:198,96:106,211:238,198:198,233:239,201:201,144:144,122:135,184:194
QRL1-1-1J,QRL1,1,1J,43.8327,-76.0934,198:198,96:106,228:238,198:198,229:239,199:201,146:146,132:135,190:190
QRL1-1-1K,QRL1,1,1K,43.8327,-76.0934,198:198,96:96,251:251,208:208,237:239,201:201,144:144,122:132,190:196
QRL1-1-1L,QRL1,1,1L,45.1123,-76.6132,198:198,106:106,238:238,208:208,235:237,199:199,144:146,122:132,184:190
QRL1-1-1M,QRL1,1,1M,45.1123,-76.6132,198:198,96:106,232:238,216:220,243:251,201:201,144:144,132:132,194:202
QRL1-1-1N,QRL1,1,1N,45.114,-76.2889,198:198,96:106,232:238,216:220,243:251,201:201,144:144,132:132,194:202
QRL1-1-1Oh,QRL1,1,1Oh,45.114,-76.2889,198:198,106:106,228:251,198:198,229:251,193:199,144:144,132:132,196:196
QRL1-1-1P,QRL1,1,1P,44.84,-76.7453,198:198,96:96,213:238,218:218,249:251,201:201,144:146,132:132,188:192
QRL1-1-1Q,QRL1,1,1Q,44.84,-76.7453,198:198,96:96,236:238,208:208,229:229,201:201,144:144,132:132,184:190
QRL1-1-1R,QRL1,1,1R,43.9637,-76.6499,190:198,96:106,211:211,196:222,225:227,201:201,146:146,128:132,190:196
QRL1-1-1T,QRL1,1,1T,43.9637,-76.6499,198:198,96:106,232:232,210:210,233:233,199:199,144:144,132:135,196:196
QRL1-1-85,QRL1,1,85,43.6832,-75.8746,198:198,96:106,217:238,206:208,233:237,199:201,144:146,122:132,190:192
QRL1-1-86,QRL1,1,86,43.6832,-75.8746,198:198,112:112,238:238,218:218,229:229,201:201,144:144,135:135,212:212
QRL1-1-87/1C,QRL1,1,87/1C,45.4247,-77.4691,198:198,96:112,209:228,184:210,229:229,201:201,144:144,135:135,186:190
QRL1-1-88/1D,QRL1,1,88/1D,45.4247,-77.4691,198:198,96:106,209:238,210:210,229:239,201:201,144:146,122:132,184:196
QRL1-2-15,QRL1,2,15,45.4642,-74.2473,190:198,96:96,222:228,206:206,229:229,199:199,144:146,128:135,190:190
QRL1-2-17,QRL1,2,17,45.4642,-74.2473,198:202,96:106,240:249,196:208,229:239,201:201,144:144,122:132,192:200
QRL1-2-19,QRL1,2,19,44.3514,-75.7462,198:198,106:106,209:209,198:208,229:237,201:201,146:146,132:132,NA
QRL1-2-21,QRL1,2,21,44.3514,-75.7462,198:204,96:112,224:249,206:208,235:249,199:201,144:144,132:135,200:200
QRL1-2-22,QRL1,2,22,45.1359,-76.9518,198:198,96:112,230:234,196:206,233:233,199:201,146:146,124:132,190:190
QRL1-2-23,QRL1,2,23,45.1359,-76.9518,198:198,106:106,213:213,206:206,229:229,201:201,144:144,138:138,192:192
QRL1-2-24,QRL1,2,24,46.2427,-76.2201,198:198,96:112,234:253,204:206,229:229,201:201,144:146,122:132,200:200
QRL1-2-27,QRL1,2,27,46.2427,-76.2201,198:198,96:112,228:238,200:206,213:239,201:201,140:146,122:132,194:194
QRL1-2-28,QRL1,2,28,45.5403,-76.6741,198:198,96:112,228:228,206:206,239:239,201:201,144:144,132:135,198:198
QRL1-2-2A,QRL1,2,2A,45.5403,-76.6741,190:204,101:106,238:238,204:204,229:229,201:201,140:144,122:132,186:200
QRL1-2-2B,QRL1,2,2B,43.1525,-78.2269,198:202,96:106,238:249,198:210,225:229,201:201,144:144,132:138,192:192
QRL1-2-2C,QRL1,2,2C,43.1525,-78.2269,198:198,106:106,236:238,210:210,227:229,201:201,146:146,132:132,184:190
QRL1-2-2D,QRL1,2,2D,45.9636,-75.9649,198:198,96:106,234:253,206:208,227:233,201:201,140:146,132:132,190:200
